Event,Crop,Start Month,KATAM Score,KATAM Class,Tool Score,Tool Class,Actual Score,Actual Class,Diverges (K!=T),Tool Closer,Actual Rain Oct (mm)
El Niño 2015-16,Rice,Jan,85,Recommended,65,Caution,85,Recommended,True,False,
El Niño 2015-16,Rice,Feb,85,Recommended,65,Caution,85,Recommended,True,False,
El Niño 2015-16,Rice,Mar,85,Recommended,18,Not Advised,63,Caution,True,False,
El Niño 2015-16,Rice,Apr,38,Not Advised,0,Not Advised,3,Not Advised,False,,
El Niño 2015-16,Rice,May,38,Not Advised,0,Not Advised,0,Not Advised,False,,
El Niño 2015-16,Rice,Jun,10,Not Advised,0,Not Advised,0,Not Advised,False,,
El Niño 2015-16,Rice,Jul,10,Not Advised,0,Not Advised,0,Not Advised,False,,
El Niño 2015-16,Rice,Aug,38,Not Advised,0,Not Advised,3,Not Advised,False,,
El Niño 2015-16,Rice,Sep,63,Caution,10,Not Advised,23,Not Advised,True,True,
El Niño 2015-16,Rice,Oct,85,Recommended,43,Not Advised,63,Caution,True,False,123.12161962129291
El Niño 2015-16,Rice,Nov,85,Recommended,65,Caution,85,Recommended,True,False,
El Niño 2015-16,Rice,Dec,85,Recommended,65,Caution,85,Recommended,True,False,
El Niño 2015-16,Oil Palm,Jan,63,Caution,0,Not Advised,0,Not Advised,True,True,
El Niño 2015-16,Oil Palm,Feb,63,Caution,0,Not Advised,0,Not Advised,True,True,
El Niño 2015-16,Oil Palm,Mar,63,Caution,0,Not Advised,0,Not Advised,True,True,
El Niño 2015-16,Oil Palm,Apr,63,Caution,0,Not Advised,0,Not Advised,True,True,
El Niño 2015-16,Oil Palm,May,63,Caution,0,Not Advised,0,Not Advised,True,True,
El Niño 2015-16,Oil Palm,Jun,63,Caution,0,Not Advised,0,Not Advised,True,True,
El Niño 2015-16,Oil Palm,Jul,63,Caution,0,Not Advised,0,Not Advised,True,True,
El Niño 2015-16,Oil Palm,Aug,63,Caution,0,Not Advised,3,Not Advised,True,True,
El Niño 2015-16,Oil Palm,Sep,63,Caution,0,Not Advised,10,Not Advised,True,True,
El Niño 2015-16,Oil Palm,Oct,63,Caution,0,Not Advised,38,Not Advised,True,True,123.12161962129291
El Niño 2015-16,Oil Palm,Nov,63,Caution,0,Not Advised,63,Caution,True,False,
El Niño 2015-16,Oil Palm,Dec,63,Caution,0,Not Advised,63,Caution,True,False,
El Niño 2015-16,Cassava,Jan,85,Recommended,80,Recommended,85,Recommended,False,,
El Niño 2015-16,Cassava,Feb,85,Recommended,58,Caution,63,Caution,True,True,
El Niño 2015-16,Cassava,Mar,85,Recommended,58,Caution,18,Not Advised,True,False,
El Niño 2015-16,Cassava,Apr,85,Recommended,33,Not Advised,18,Not Advised,True,True,
El Niño 2015-16,Cassava,May,85,Recommended,33,Not Advised,18,Not Advised,True,True,
El Niño 2015-16,Cassava,Jun,85,Recommended,13,Not Advised,10,Not Advised,True,True,
